Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Parche
Aatrox,Fighter,TOP,A,58.25,6.52,49.97%,94.62%,4.43%,2.03%,1.97,12.1
Ahri,Mage,MID,A,53.21,-0.24,49.93%,93.47%,4.62%,1.04%,2.56,12.1
Akali,Assassin,MID,S,65.3,6.51,48.59%,65.65%,8.16%,12.88%,2.34,12.1
Akali,Assassin,TOP,A,57.87,3.34,48.57%,34.06%,4.24%,12.88%,02.04,12.1
Akshan,Marksman,MID,S,59.85,0.65,51.46%,58.01%,4.83%,21.91%,2.23,12.1
Akshan,Marksman,TOP,A,55.89,-0.46,51.58%,33.45%,2.71%,21.91%,1.97,12.1
Alistar,Tank,SUPPORT,B,46.08,-2.74,49.92%,98.55%,3.65%,0.84%,2.51,12.1
Amumu,Tank,JUNGLE,B,45.69,1.72,50.27%,83.11%,3.13%,1.51%,2.62,12.1
Amumu,Tank,SUPPORT,C,35.88,2.55,50.09%,14.95%,0.44%,1.64%,02.05,12.1
Anivia,Mage,MID,A,53.38,-1.26,51.97%,82.16%,3.32%,3.03%,2.66,12.1
Anivia,Mage,SUPPORT,D,31.74,-1.46,47.66%,12.51%,0.44%,3.03%,2.18,12.1
Annie,Mage,MID,A,48.81,6.23,52.45%,85.00%,2.17%,0.71%,2.39,12.1
Aphelios,Marksman,ADC,C,35.96,-1.67,47.36%,98.34%,5.79%,1.46%,02.03,12.1
Ashe,Marksman,ADC,B,43.08,-9.95,49.66%,93.40%,6.03%,1.11%,2.32,12.1
Aurelion Sol,Mage,MID,B,42.15,-2.74,50.81%,91.23%,0.89%,0.25%,2.55,12.1
Azir,Mage,MID,D,32.69,02.09,46.67%,90.68%,1.12%,0.21%,2.1,12.1
Bard,Support,SUPPORT,A,49.81,2.27,50.23%,98.67%,4.05%,1.00%,2.97,12.1
Blitzcrank,Tank,SUPPORT,S,67.8,-0.81,51.87%,99.49%,8.61%,18.23%,2.44,12.1
Brand,Mage,SUPPORT,B,45.21,-4.17,49.18%,79.04%,4.68%,5.87%,1.77,12.1
Brand,Mage,MID,B,41.21,1.44,51.68%,12.83%,0.82%,6.43%,02.04,12.1
Braum,Support,SUPPORT,A,46.74,2.77,50.73%,99.40%,2.87%,0.39%,2.79,12.1
Caitlyn,Marksman,ADC,God,88.48,-0.16,50.09%,98.70%,21.30%,18.96%,2.31,12.1
Camille,Fighter,TOP,God,84.61,9.6,50.20%,96.80%,7.17%,7.54%,1.99,12.1
Cassiopeia,Mage,MID,B,44.08,-2,50.30%,71.90%,2.43%,1.36%,02.09,12.1
Cassiopeia,Mage,TOP,D,26.2,-7.91,49.47%,17.98%,0.68%,1.36%,1.83,12.1
Cho'Gath,Tank,TOP,A,52.76,2.64,52.82%,72.56%,2.59%,0.95%,2.2,12.1
Cho'Gath,Tank,MID,C,37.75,-4.65,49.57%,17.42%,0.55%,0.95%,2.37,12.1
Corki,Marksman,MID,A,58.2,0.29,49.38%,92.76%,6.79%,3.91%,2.17,12.1
Darius,Fighter,TOP,God,83.96,16.49,50.37%,95.85%,6.58%,15.17%,1.87,12.1
Diana,Fighter,JUNGLE,God,82.96,44.71,51.46%,83.98%,12.19%,12.81%,2.49,12.1
Diana,Fighter,MID,A,49.05,04.03,52.62%,15.14%,2.17%,12.81%,2.2,12.1
Dr. Mundo,Marksman,TOP,S,62.73,-2.08,51.76%,91.81%,4.06%,2.97%,2.26,12.1
Draven,Fighter,ADC,B,46.38,-4.53,50.52%,95.90%,6.30%,12.39%,2.16,12.1
Ekko,Assassin,JUNGLE,A,55.93,-1.56,49.91%,64.39%,6.16%,4.09%,2.74,12.1
Ekko,Assassin,MID,A,46.78,0.91,49.67%,33.37%,3.26%,4.09%,2.24,12.1
Elise,Mage,JUNGLE,B,40.59,-3.1,49.48%,94.98%,2.22%,1.66%,2.56,12.1
Evelynn,Assassin,JUNGLE,A,48.04,-1.54,49.64%,98.86%,3.46%,8.85%,2.94,12.1
Ezreal,Marksman,ADC,God,75.98,1.83,49.28%,97.47%,20.07%,5.20%,2.39,12.1
Fiddlesticks,Mage,JUNGLE,B,46.01,-1.29,50.54%,92.05%,2.91%,2.86%,2.68,12.1
Fiora,Fighter,TOP,S,75.08,4.32,50.05%,97.65%,6.08%,10.76%,1.76,12.1
Fizz,Assassin,MID,A,52.25,1.44,50.83%,96.26%,3.83%,4.53%,2.46,12.1
Galio,Tank,MID,A,46.86,0.84,50.38%,63.28%,2.28%,0.54%,2.71,12.1
Galio,Tank,SUPPORT,C,36.89,-1.3,48.87%,33.91%,1.22%,0.54%,2.35,12.1
Gangplank,Fighter,TOP,S,65.59,14.31,47.66%,87.34%,5.92%,4.44%,1.99,12.1
Gangplank,Fighter,MID,C,36.57,3.4,48.67%,12.95%,0.90%,4.41%,2.23,12.1
Garen,Fighter,TOP,S,73.99,15.67,51.55%,87.46%,5.74%,2.13%,2.1,12.1
Gnar,Fighter,TOP,A,47.1,4.58,49.86%,97.87%,3.05%,0.60%,02.01,12.1
Gragas,Fighter,TOP,C,37.47,-2.35,48.75%,39.67%,1.96%,0.32%,2.24,12.1
Gragas,Fighter,JUNGLE,C,36.1,-7.55,48.00%,40.60%,1.64%,0.32%,2.7,12.1
Gragas,Fighter,SUPPORT,D,32.15,-2.55,47.64%,11.54%,0.49%,0.32%,2.25,12.1
Graves,Marksman,JUNGLE,S,59.84,-9.95,49.28%,67.07%,7.51%,9.44%,2.58,12.1
Graves,Marksman,TOP,B,42.78,-7.19,49.10%,25.53%,2.75%,9.44%,1.72,12.1
Gwen,Fighter,TOP,A,54.66,13.03,49.82%,82.83%,4.23%,2.43%,1.73,12.1
Gwen,Fighter,JUNGLE,C,38.68,5.74,51.35%,13.40%,0.70%,2.43%,2.36,12.1
Hecarim,Fighter,JUNGLE,S,71.27,12.91,51.18%,99.23%,8.94%,8.04%,03.02,12.1
Heimerdinger,Mage,MID,C,35.89,-1.34,49.28%,35.85%,0.80%,0.81%,1.96,12.1
Heimerdinger,Mage,ADC,C,34.01,-1.93,51.76%,15.56%,0.29%,0.81%,2.23,12.1
Heimerdinger,Mage,SUPPORT,C,33.85,-1.74,49.85%,10.09%,0.20%,0.92%,1.83,12.1
Heimerdinger,Mage,TOP,D,24.16,-8.38,48.87%,38.86%,0.80%,0.81%,1.65,12.1
Illaoi,Fighter,TOP,C,34.11,-3.45,49.16%,92.36%,2.07%,2.53%,1.49,12.1
Irelia,Fighter,TOP,God,81.35,-5.02,49.10%,60.00%,6.24%,23.51%,1.58,12.1
Irelia,Fighter,MID,A,48.07,-1.08,48.24%,39.17%,4.10%,23.51%,1.75,12.1
Ivern,Support,JUNGLE,C,38.83,1.46,48.09%,85.02%,1.21%,0.34%,3.41,12.1
Janna,Support,SUPPORT,A,51.92,-3.82,50.56%,95.20%,4.60%,0.57%,3,12.1
Jarvan IV,Tank,JUNGLE,A,54.92,4.21,51.04%,93.41%,4.22%,0.54%,3.37,12.1
Jax,Fighter,TOP,God,82.16,3.63,50.68%,85.79%,6.84%,10.98%,1.63,12.1
Jax,Fighter,JUNGLE,C,34.7,-5.49,49.40%,13.26%,1.11%,10.39%,2.13,12.1
Jayce,Fighter,TOP,S,73.56,-5.02,49.44%,74.77%,6.54%,4.13%,1.78,12.1
Jayce,Fighter,MID,B,39.29,-2.3,48.62%,24.13%,1.97%,4.13%,02.05,12.1
Jhin,Marksman,ADC,God,94.23,3.23,51.03%,99.02%,24.55%,5.81%,03.01,12.1
Jinx,Marksman,ADC,God,86.76,-1.22,51.32%,99.51%,22.27%,6.98%,2.43,12.1
Kai'Sa,Marksman,ADC,God,75.52,10.5,49.48%,97.77%,19.45%,5.95%,2.42,12.1
Kalista,Marksman,ADC,D,31.51,-0.06,49.03%,91.41%,1.53%,0.27%,2.3,12.1
Karma,Mage,SUPPORT,S,63.43,6.96,48.91%,92.05%,10.22%,2.96%,2.73,12.1
Karthus,Mage,ADC,B,42.26,-1.65,54.98%,21.05%,0.95%,3.30%,2.23,12.1
Karthus,Mage,MID,B,42.13,3.77,52.58%,11.76%,0.41%,3.30%,2.19,12.1
Karthus,Mage,JUNGLE,B,39.58,0.6,49.39%,57.80%,2.09%,3.30%,2.45,12.1
Kassadin,Assassin,MID,A,58.16,-7.74,51.42%,97.04%,4.54%,14.43%,2.49,12.1
Katarina,Assassin,MID,S,61.99,-0.88,49.59%,94.72%,7.12%,9.89%,2.29,12.1
Kayle,Fighter,TOP,A,48.25,-5.26,50.71%,72.51%,3.11%,1.19%,1.8,12.1
Kayle,Fighter,MID,B,40.73,-8.21,50.63%,25.67%,0.97%,1.19%,2.28,12.1
Kayn,Fighter,JUNGLE,S,69.12,1.38,49.95%,97.80%,9.70%,12.18%,2.41,12.1
Kennen,Mage,MID,B,40.4,-1.04,51.35%,15.00%,0.34%,0.67%,2.37,12.1
Kennen,Mage,TOP,C,35.49,0.47,48.62%,83.50%,2.00%,0.70%,1.98,12.1
Kha'Zix,Assassin,JUNGLE,S,60.25,-2.33,50.17%,98.88%,7.47%,7.01%,2.47,12.1
Kindred,Marksman,JUNGLE,B,46.69,-1.77,50.47%,91.82%,3.87%,2.49%,2.26,12.1
Kled,Fighter,MID,A,48.84,0,55.14%,10.23%,0.19%,0.83%,2.7,12.1
Kled,Fighter,TOP,B,40.27,-4.86,50.36%,88.47%,1.69%,0.78%,2.32,12.1
Kog'Maw,Marksman,ADC,B,39.8,-2.8,52.79%,89.17%,1.98%,0.44%,2.21,12.1
LeBlanc,Assassin,MID,A,59.14,-1.18,48.85%,94.88%,5.79%,11.95%,2.82,12.1
Lee Sin,Fighter,JUNGLE,God,91.89,0.28,48.45%,96.61%,15.29%,16.26%,2.82,12.1
Leona,Tank,SUPPORT,S,65.44,-0.99,49.61%,99.42%,9.88%,13.97%,2.34,12.1
Lillia,Fighter,JUNGLE,B,42.51,-1.69,49.35%,85.39%,2.74%,0.95%,2.66,12.1
Lillia,,TOP,D,24.34,-9.25,49.20%,11.49%,0.40%,1.01%,1.96,12.1
Lissandra,Mage,MID,A,47.29,1.22,50.65%,91.16%,2.72%,0.66%,2.41,12.1
Lucian,Marksman,ADC,A,48.48,-7.7,49.26%,86.34%,8.84%,3.12%,2.25,12.1
Lulu,Support,SUPPORT,God,93.56,0.75,50.84%,97.72%,14.30%,25.68%,3.12,12.1
Lux,Mage,SUPPORT,God,82.29,-6.67,50.26%,68.48%,14.64%,12.26%,2.53,12.1
Lux,Mage,MID,S,66.92,-0.9,51.08%,29.30%,6.48%,12.26%,2.97,12.1
Malphite,Tank,TOP,S,67.63,5.41,51.19%,75.04%,4.68%,4.01%,2.41,12.1
Malphite,Tank,MID,B,40.23,-3.72,50.49%,11.99%,0.71%,4.01%,2.4,12.1
Malphite,Tank,SUPPORT,D,29.17,-1.81,46.13%,11.03%,0.78%,4.12%,02.05,12.1
Malzahar,Mage,MID,A,49.57,5.18,50.92%,91.35%,3.43%,3.03%,2.22,12.1
Maokai,Tank,SUPPORT,B,39.51,-0.65,50.16%,80.13%,1.46%,0.16%,2.23,12.1
Maokai,Tank,TOP,D,24.65,-6.31,49.13%,17.24%,0.32%,0.17%,2.1,12.1
Master Yi,Assassin,JUNGLE,S,64.59,-3.49,49.74%,93.04%,7.64%,18.96%,02.02,12.1
Miss Fortune,Marksman,ADC,A,50.67,-1.8,50.10%,95.35%,8.87%,2.12%,2.3,12.1
Mordekaiser,Fighter,TOP,S,65.95,14.48,49.82%,87.43%,5.31%,5.99%,1.79,12.1
Morgana,Mage,SUPPORT,S,71.03,-1.92,49.76%,92.49%,9.13%,26.95%,2.51,12.1
Nami,Support,SUPPORT,S,73.29,-2.3,51.52%,99.76%,11.30%,2.60%,3.24,12.1
Nasus,Fighter,TOP,S,64.96,7.18,51.83%,85.10%,4.49%,4.36%,1.98,12.1
Nautilus,Tank,SUPPORT,S,60.25,2.25,49.81%,98.25%,8.69%,7.77%,2.32,12.1
Neeko,Mage,MID,C,37.75,0.46,48.66%,62.30%,1.30%,0.28%,2.22,12.1
Neeko,Mage,SUPPORT,D,31.53,2.13,47.99%,23.38%,0.50%,0.30%,1.95,12.1
Nidalee,Assassin,JUNGLE,A,49.1,-0.37,48.98%,92.41%,4.41%,2.64%,2.95,12.1
Nocturne,Assassin,JUNGLE,B,39.71,-6.54,48.05%,86.82%,3.12%,3.24%,2.39,12.1
Nunu,Tank,JUNGLE,A,55.47,0.61,51.79%,89.52%,4.35%,2.38%,03.04,12.1
Olaf,Fighter,JUNGLE,C,36.61,5.55,49.07%,84.79%,1.48%,0.85%,2.45,12.1
Olaf,Fighter,TOP,D,11.03,-6.16,45.46%,15.64%,0.27%,0.92%,1.63,12.1
Orianna,Mage,MID,A,47.05,1.97,49.56%,95.43%,2.89%,0.18%,2.66,12.1
Ornn,Tank,TOP,A,59.57,4.58,50.83%,94.19%,4.04%,0.43%,2.3,12.1
Pantheon,Fighter,MID,B,41.54,-2.49,50.80%,27.31%,1.16%,0.89%,2.25,12.1
Pantheon,Fighter,SUPPORT,D,32.78,-2.48,47.00%,39.76%,1.78%,0.89%,1.89,12.1
Pantheon,Fighter,TOP,D,30.79,-10.85,49.68%,26.73%,0.93%,0.89%,2.1,12.1
Poppy,Tank,JUNGLE,B,41.6,-2.14,49.59%,47.97%,2.30%,2.30%,2.65,12.1
Poppy,Tank,TOP,B,39.88,-5.73,49.78%,43.37%,1.98%,2.30%,2.14,12.1
Pyke,Support,SUPPORT,S,59.89,-0.91,49.35%,88.30%,8.57%,12.77%,2.17,12.1
Qiyana,Assassin,MID,A,56.52,2.17,51.04%,58.68%,4.73%,13.69%,2.14,12.1
Qiyana,Assassin,JUNGLE,B,42.89,-0.24,48.92%,37.84%,2.94%,13.69%,2.42,12.1
Quinn,Marksman,TOP,C,36.42,-5.78,51.71%,83.36%,1.19%,0.51%,1.89,12.1
Rakan,Support,SUPPORT,A,54.12,-1.22,50.52%,98.47%,5.55%,0.41%,2.94,12.1
Rammus,Tank,JUNGLE,A,48.15,0.36,51.71%,93.45%,2.41%,3.14%,2.9,12.1
Rek'Sai,Fighter,JUNGLE,A,49.57,-0.79,51.40%,96.79%,3.69%,2.52%,2.51,12.1
Rell,Tank,SUPPORT,B,42.96,0.27,50.61%,99.47%,2.13%,0.49%,2.42,12.1
Renekton,Fighter,TOP,A,50.6,6.84,48.17%,86.48%,4.10%,2.05%,1.91,12.1
Renekton,Fighter,MID,B,41.32,3.85,51.78%,12.93%,0.63%,2.05%,2.19,12.1
Rengar,Assassin,JUNGLE,B,39.34,3.97,48.44%,77.99%,2.97%,2.68%,2.28,12.1
Rengar,Assassin,TOP,D,22.41,-8.95,47.43%,20.91%,0.91%,2.31%,1.77,12.1
Riven,Fighter,TOP,S,65.68,6.18,51.30%,91.86%,4.88%,2.30%,1.99,12.1
Rumble,Fighter,MID,B,45.65,1.36,52.28%,37.76%,0.95%,0.26%,2.64,12.1
Rumble,Fighter,JUNGLE,C,36.12,1.29,49.65%,13.54%,0.31%,0.26%,2.82,12.1
Rumble,Fighter,TOP,D,25.32,-2.02,47.57%,46.60%,1.01%,0.26%,02.02,12.1
Ryze,Mage,MID,C,35.12,-1.72,45.97%,82.39%,2.15%,0.20%,2.15,12.1
Ryze,Mage,TOP,D,14.3,-7.36,45.91%,16.26%,0.43%,0.20%,1.74,12.1
Samira,Marksman,ADC,B,44.4,-3.44,48.52%,98.10%,7.22%,11.15%,2.19,12.1
Sejuani,Tank,JUNGLE,B,40.92,-8.34,48.26%,82.05%,2.29%,0.31%,03.09,12.1
Sejuani,Tank,TOP,D,30.67,-2.66,50.50%,13.18%,0.32%,0.34%,2.43,12.1
