MLP,Patente,Altura,Ancho,Largo,Modelo,Año,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
Dos Haches,OKC294,2.4,1.85,5.2,KIA K2500,2014,3.4,6.29,2.805,6.732,1.2,1.65,Utilitario Largo,Si
Dos Haches, JHW019,2.8,1.53,5.1,KIA K2500,2010,3.3,5.049,2.926,7.0224,1.6,1.33,Utilitario Largo,Si
Dos Haches,AB304TY,2.7,2,5.1,JMC N-601,2017,3.1,6.2,3.4875,8.37,1.5,1.8,Utilitario Largo,Si
Intermedio,DXB349,2.68,2,5.7,MERCEDES BENZ SPRINTER 312 D / C3550,2001,3.7,7.4,4.107,9.8568,1.48,1.8,Utilitario Largo,Si
MAMAN SRL,ORB036,2.8,1.8,5.7,KIA K2500,2015,3.9,07.02,5.72,13.728,2.2,1.6,Chasis Liviano,Si
Iflow,PKB209,2.5,2,6.3,MERCEDES BENZ SPRINTER 415 CDI-CH 3665,2015,4.3,8.6,4.1925,10.062,1.3,1.8,Utilitario Largo,Si
ELOG,AA027PX,2.3,2.4,6.7,MERCEDES BENZ SPRINTER 515 CDI-CH 4325,2016,4.7,11.28,4.739.166.667,11.374,1.1,2.2,Chasis Liviano,Si
Flashbox Delivery,BAK763,2.5,2.2,6.4,DEUTZ AGRALE DYNAMIC 10,1996,4.4,9.68,4.766.666.667,11.44,1.3,2,Chasis Liviano,Si
Intermedio,LCO800,2.7,2.25,5.75,RENAULT MASTER PH3 120 PKCNF,2012,3.75,8.4375,48.046.875,1.153.125,1.5,02.05,Chasis Liviano,Si
Dos Haches,FYR601,3,02.05,5.8,MERCEDES BENZ SPRINTER 313 CDI/CH 3550,2007,3.8,7.79,5.2725,12.654,1.8,1.85,Chasis Liviano,Si
Chazki,MGL728,2.27,2.4,7.4,HYUNDAI HD78,2013,5.4,12.96,5.2965,12.7116,01.07,2.2,Chasis Liviano,Si
Flashbox Delivery,UOV338,3.5,2.2,5.3,MERCEDES BENZ L608/35,1982,3.3,7.26,5.5,13.2,2,2,Chasis Liviano,Si
Flashbox Delivery,FKH704,3,2.1,5.9,MERCEDES BENZ SPRINTER 311 CDI CH 3550,2006,3.9,8.19,5.5575,13.338,1.8,1.9,Chasis Liviano,Si
Flashbox Delivery,FMI558,2.6,2.35,6.4,IVECO 119 DAILY 35.10,2006,4.4,10.34,5.646.666.667,13.552,1.4,2.2,Chasis Liviano,Si
ANDESMAR,BVF540,2.8,2.3,6.1,YUEJIN NJ1062DE,1998,4.1,9.43,5.74,13.776,1.6,2.1,Chasis Liviano,Si
Global Truck,NBR203,2.7,02.05,7,MERCEDES BENZ 515 CDI CH 4325,2013,5,10.25,578.125,13.875,1.5,1.85,Chasis Liviano,Si
Iflow,SAT016,2.8,2.25,6.3,DEUTZ AGRALE DYNAMIC C-11,1994,4.3,9.675,5.876.666.667,14.104,1.6,02.05,Chasis Liviano,Si
Flashbox Delivery,OCM103,3,2,6.5,FORD TRANSIT 125 T 460 C/AC,2014,4.5,9,6.075,14.58,1.8,1.8,Chasis Liviano,Si
ELOG,FHR147,2.81,2.2,6.6,MERCEDES BENZ 710,2000,4.6,10.12,6.171.666.667,14.812,1.61,2,Chasis Liviano,Si
Iflow,AE834FI,3.1,2.2,6,FORD TRANSIT 2.2,2021,4,8.8,6.333.333.333,15.2,1.9,2,Chasis Liviano,Si
EntregAR,WSA873,3,2.1,6.5,MERCEDES BENZ L710D/37,1994,4.5,9.45,6.4125,15.39,1.8,1.9,Chasis Liviano,Si
Global Truck,IMH177,2.75,2.15,7.1,IVECO DAILY 55C16 PASO 3750,2009,5.1,10.965,64.228.125,1.541.475,1.55,1.95,Chasis Liviano,Si
Intermedio,AD141OI,3.2,2.11,06.05,RENAULT NUEVO MASTER CC,2018,04.05,8.5455,644.625,15.471,2,1.91,Chasis Liviano,Si
Intermedio,PFK082,3,2.2,6.3,MERCEDES BENZ SPRINTER 415 CDI/CH 3665,2015,4.3,9.46,6.45,15.48,1.8,2,Chasis Liviano,Si
Intermedio,UPE299,3,2.3,6.1,MERCEDES BENZ 608/350 D,1975,4.1,9.43,6.4575,15.498,1.8,2.1,Chasis Liviano,Si
Global Truck,TYJ772,3.1,2.2,6.1,MERCEDES BENZ L608D/35,1981,4.1,09.02,6.491.666.667,15.58,1.9,2,Chasis Liviano,Si
Flashbox Delivery,RCL845,3,2.25,6.25,MERCEDES BENZ L608 D,1971,4.25,9.5625,6.534.375,156.825,1.8,02.05,Chasis Liviano,Si
ELOG,BTZ140,3.36,2.3,5.8,DAIHATSU DELTA V116,1998,3.8,8.74,6.65,15.96,2,2.1,Chasis Liviano,Si
Flashbox Delivery,JRY772,2.95,2.2,6.6,IVECO DAILY 35C14 PASO 3750,2011,4.6,10.12,6.708.333.333,16.1,1.75,2,Chasis Liviano,Si
Intermedio,AAL238,3.12,2.26,6.1,TATA 608/37,1995,4.1,9.266,6.7568,1.621.632,1.92,02.06,Chasis Liviano,Si
ELOG,TWF286,3.15,2.22,6.15,MERCEDES BENZ L 608D/35,1985,4.15,9.213,68.111.875,1.634.685,1.95,02.02,Chasis Liviano,Si
ELOG,HYA473,2.9,2.3,6.6,MERCEDES BENZ SPRINTER 413 CDI/CH 4025,2009,4.6,10.58,6.8425,16.422,1.7,2.1,Chasis Liviano,Si
ELOG,BTW231,3,2.2,6.6,IVECO TURBO DAILY 49.10,1998,4.6,10.12,6.9,16.56,1.8,2,Chasis Liviano,Si
Dos Haches,ROB562,3.2,2.2,6.15,MERCEDES BENZ L 608D/35,1978,4.15,9.13,6.916.666.667,16.6,2,2,Chasis Liviano,Si
Intermedio,AA827CP,2.83,2.3,6.85,MERCEDES BENZ SPRINTER 515 CDI-CH 4325,2017,4.85,11.155,69.173.125,1.660.155,1.63,2.1,Chasis Liviano,Si
ELOG,BBM759,2.8,2.3,7.1, CHEVROLET NPR 66PL-5LXY,1996,5.1,11.73,7.14,17.136,1.6,2.1,Chasis Liviano,Si
ELOG,CXX157,3.25,2.3,6.1,YUEJIN NJ1035DER,1999,4.1,9.43,7.175,17.22,2,2.1,Chasis Liviano,Si
Flashbox Delivery,DFI783,3,2.2,6.8,MERCEDES BENZ 712C,2000,4.8,10.56,7.2,17.28,1.8,2,Chasis Liviano,Si
Flashbox Delivery,AA708ZY,3.1,2.1,6.8,IVECO DAILY 35C15 PASO 3750,2016,4.8,10.08,7.22,17.328,1.9,1.9,Chasis Liviano,Si
EntregAR,DEZ455,3,2.3,6.6,IVECO TURBO DAILY 59.12,2000,4.6,10.58,7.245,17.388,1.8,2.1,Chasis Liviano,Si
Intermedio,CYM965,3,2.1,7.1,MERCEDES BENZ 712C,1999,5.1,10.71,7.2675,17.442,1.8,1.9,Chasis Liviano,Si
ELOG,GJD162,3,2.22,6.87,FORD 915,2007,4.87,10.8114,737.805,1.770.732,1.8,02.02,Chasis Liviano,Si
Flashbox Delivery,IHX433,3,2.25,6.8,MERCEDES BENZ SPRINTER 413 CDI CH 4025,2009,4.8,10.8,7.38,17.712,1.8,02.05,Chasis Liviano,Si
Intermedio,KFM473,3,2.3,6.7,IVECO DAILY 35C14 PASO 3750,2011,4.7,10.81,7.4025,17.766,1.8,2.1,Chasis Liviano,Si
Chazki,BCZ580,2.95,2.2,7.1,CHEVROLET NPR 66PL-SLXY,1996,5.1,11.22,7.4375,17.85,1.75,2,Chasis Liviano,Si
Iflow,ADA521,3.15,2.2,6.6,IVECO DAILY 49-10,1995,4.6,10.12,7.475,17.94,1.95,2,Chasis Liviano,Si
Iflow,KRS178,2.8,2.6,7.1,MERCEDES BENZ 710,2011,5.1,13.26,7.48,17.952,1.6,2.2,Chasis Liviano,Si
Iflow,SFT338,3.1,2.3,6.5,MERCEDES BENZ L710/37,1994,4.5,10.35,748.125,17.955,1.9,2.1,Chasis Liviano,Si
ELOG,TZC447,3.1,2.4,6.3,MERCEDES BENZ L608D/35,1987,4.3,10.32,7.489.166.667,17.974,1.9,2.2,Chasis Liviano,Si
MAMAN SRL,SRB095,3,2.2,7,MERCEDES BENZ L710/42,1992,5,11,7.5,18,1.8,2,Chasis Liviano,Si
Intermedio,FPB737,2.92,2.34,6.8,IVECO DAILY 35.10,2006,4.8,11.232,7.568,181.632,1.72,2.2,Chasis,Si
ELOG,AVA498,3,2.4,6.6,MERCEDES BENZ BM 688 VERSION 710,1996,4.6,11.04,7.59,18.216,1.8,2.2,Chasis,Si
Intermedio,DZV123,3,2.4,6.6,IVECO DAILY 59.12,2002,4.6,11.04,7.59,18.216,1.8,2.2,Chasis,Si
Iflow,AB217PP,3.1,2.2,6.8,MERCEDES BENZ SPRINTER 515 CDI-CH 4325,2017,4.8,10.56,7.6,18.24,1.9,2,Chasis,Si
Flashbox Delivery,ARS769,03.05,2.3,6.7,MERCEDES BENZ L 709/37,1996,4.7,10.81,7.608.125,182.595,1.85,2.1,Chasis,Si
